23-04-29 17:09:01.099 : Model path: model_zoo/dncnn_15.pth
23-04-29 17:09:01.099 : Params number: 555137
23-04-29 17:09:01.099 : model_name:dncnn_15, image sigma:15
23-04-29 17:09:01.099 : testsets/noisy15
23-04-29 17:16:18.683 : 0032.png - PSNR: 30.15 dB; SSIM: 0.6395.
23-04-29 17:16:19.598 : 0033.png - PSNR: 26.72 dB; SSIM: 0.8490.
23-04-29 17:16:20.503 : 0034.png - PSNR: 28.27 dB; SSIM: 0.7280.
23-04-29 17:16:21.534 : 0035.png - PSNR: 26.66 dB; SSIM: 0.8904.
23-04-29 17:16:22.569 : 0036.png - PSNR: 27.36 dB; SSIM: 0.8479.
23-04-29 17:16:23.947 : 0037.png - PSNR: 27.88 dB; SSIM: 0.7591.
23-04-29 17:16:25.263 : 0038.png - PSNR: 28.93 dB; SSIM: 0.6672.
23-04-29 17:16:26.706 : 0039.png - PSNR: 27.50 dB; SSIM: 0.7177.
23-04-29 17:16:28.076 : 0040.png - PSNR: 27.93 dB; SSIM: 0.7249.
23-04-29 17:16:29.248 : 0041.png - PSNR: 28.13 dB; SSIM: 0.7517.
23-04-29 17:16:30.341 : 0042.png - PSNR: 28.77 dB; SSIM: 0.7084.
23-04-29 17:16:31.280 : 0043.png - PSNR: 27.99 dB; SSIM: 0.7634.
23-04-29 17:16:32.240 : 0044.png - PSNR: 28.27 dB; SSIM: 0.7168.
23-04-29 17:16:33.245 : 0045.png - PSNR: 28.46 dB; SSIM: 0.7484.
23-04-29 17:16:34.168 : 0046.png - PSNR: 27.86 dB; SSIM: 0.7876.
23-04-29 17:16:35.095 : 0047.png - PSNR: 28.86 dB; SSIM: 0.6582.
23-04-29 17:16:36.020 : 0048.png - PSNR: 27.38 dB; SSIM: 0.8229.
23-04-29 17:16:36.927 : 0049.png - PSNR: 27.39 dB; SSIM: 0.8206.
23-04-29 17:16:37.830 : 0050.png - PSNR: 28.91 dB; SSIM: 0.6720.
23-04-29 17:16:38.737 : 0051.png - PSNR: 27.63 dB; SSIM: 0.7975.
23-04-29 17:16:39.656 : 0052.png - PSNR: 28.01 dB; SSIM: 0.7695.
23-04-29 17:16:40.584 : 0053.png - PSNR: 29.09 dB; SSIM: 0.6728.
23-04-29 17:16:41.499 : 0054.png - PSNR: 28.47 dB; SSIM: 0.6743.
23-04-29 17:16:42.399 : 0055.png - PSNR: 28.18 dB; SSIM: 0.7731.
23-04-29 17:16:43.291 : 0056.png - PSNR: 27.79 dB; SSIM: 0.7967.
23-04-29 17:16:44.199 : 0057.png - PSNR: 26.40 dB; SSIM: 0.8753.
23-04-29 17:16:45.080 : 0058.png - PSNR: 27.92 dB; SSIM: 0.7256.
23-04-29 17:16:45.974 : 0059.png - PSNR: 28.41 dB; SSIM: 0.6696.
