Sl. No.,ssim Bilateral,ssim wiener,ssim wavelet,ssim PCA,ssim BM3D,ssim NLM
24,0.5955886645586739,0.5564181598532644,0.7611759126594961,0.809324462588986,0.9174672844417925,0.8797311090567816
25,0.9360344948549234,0.4457680631900185,0.7474522793443803,0.34525811983700405,0.9728751739706267,0.966382914560477
26,0.5697960501429219,0.5403305237563623,0.6156379404559832,0.7931095755747675,0.8933448455497234,0.8591951940878417
27,0.44607477868480305,0.49883787375049016,0.6464470811782915,0.8139569052895408,0.8943718020638775,0.8673893553586438
28,0.6935782082112625,0.636620681220128,0.7680058967504962,0.7313324859541435,0.9338136016214809,0.9091889918512894
29,0.6157259219699175,0.5760643880612181,0.7343493267595579,0.7535505662699105,0.8882639570801131,0.8676786214962929
30,0.6995776583885283,0.5512291050822519,0.7619775569869234,0.7021025903310321,0.9039875939670208,0.8769687314367804
31,0.676975647670417,0.5873546802620102,0.7937754574827528,0.7423756231965398,0.9197441129146008,0.8965030399815123
32,0.8067574936833536,0.6187467697153023,0.6984812333081167,0.5392105938414095,0.9124306187849871,0.8889604016850596
33,0.44646694447582463,0.5072901669091914,0.6765102428303984,0.8180576067888173,0.9073137678926146,0.8879039281458981
34,0.38857337694063765,0.5107102487902359,0.6328134487769713,0.7379125601035789,0.9404046856040809,0.9416717769798927
35,0.799675712438445,0.7022866512399335,0.689968800836476,0.34558514098402554,0.8975662179385536,0.8827088617048049
36,0.48818645159447677,0.5373854346966402,0.7157223920450423,0.7552683478984288,0.9340666030585946,0.9185462263034609
37,0.7514955919606904,0.5644248548050912,0.8400978173280073,0.668019713257049,0.9634771454609036,0.9526406947111008
38,0.6068772985341719,0.5800794022929416,0.6638761363242806,0.7122647790720327,0.8958550100285109,0.8801513560088777
39,0.5343388766859076,0.5310091442139716,0.753387375569115,0.7433290411283966,0.9371731338619251,0.912599071863567
40,0.6981895701075492,0.5877712029747467,0.788983574277771,0.7589753605573946,0.9229221406930437,0.8857714133767974
41,0.7061304248499493,0.6142149890778346,0.630114089857465,0.654659481477051,0.8965658112104339,0.8898536988739496
42,0.7015109460767454,0.5334208697551194,0.7598313521003175,0.6895678198554713,0.9064120656046215,0.882611086142902
43,0.7218040237185648,0.6356688902152822,0.7991556942774767,0.5277091109436218,0.9343178924298835,0.921684482229036
44,0.28305388014839356,0.4946729696702844,0.6314117396764053,0.8784969355379525,0.9334115131358967,0.9316856196662234
45,0.5543054753677937,0.598760972831688,0.7260106251162346,0.7730774691727466,0.8825334968194334,0.8640720840171026
46,0.7175183619210811,0.5640956648367893,0.7396927126476864,0.6282190568690413,0.9077446113667518,0.8960959375380484
47,0.7038927699898925,0.6117370060398016,0.7662786508283418,0.7340398030092449,0.9079475326075759,0.8582648973151432
48,0.4385961418242721,0.5337643365455069,0.6310069544926402,0.7646774821143377,0.8533433758844194,0.8666800352383722
