Sl. No.,PSNR Bilateral,PSNR wiener,PSNR wavelet,PSNR PCA,ssim BM3D,ssim NLM
25,40.28450203387382,33.549213895590555,32.07883657776068,32.118684721821914,44.77573326307834,43.9915993133376
26,36.10633865294809,34.82942511855171,32.742758962417035,37.914352626666926,40.19857862863003,39.340148633481554
27,34.39425945774587,33.75232373217754,35.54880552769384,36.92724747292396,39.41906436983647,38.884144353465004
28,35.58917432609131,34.40454997836595,35.83549781992986,35.408312041107294,40.46543417804781,39.52482986920245
29,36.18079502208854,34.87324479578826,35.87521020996781,37.021164983612366,40.0466249640813,39.49704943570175
30,37.140853332061056,34.79848508847335,36.18804035270664,37.22066218503397,40.72968373395352,40.08651537111249
31,36.04395889696057,34.63758146878882,36.948883394057894,37.349471797778506,40.51793606485929,39.82763903914108
32,39.014004510279314,37.253259169065565,34.58278979816833,35.667595049127456,41.764840179955165,41.249647237261584
33,34.27360255139483,33.78140669685682,33.34920909292623,36.378460475669726,39.618110874826016,38.967132988288114
34,32.871530336236326,32.68921786014972,33.47639243311867,33.82172869855491,38.932307290621566,38.719596483621444
35,36.96871374393301,34.81215480918037,34.79678184777233,32.0720111330914,40.63183579284054,40.405662477934015
36,33.393113413716684,32.93085141265668,34.261022604588604,34.80809908371501,39.59823723312096,38.99243402666764
37,35.87941678485114,34.218213899958094,37.20917064923424,38.428127029231035,41.01513447703404,40.28353458546755
38,35.133662729592594,34.280750019503394,32.05002628373438,36.770141995964345,40.10954642247454,39.69030219777563
39,34.1269747838996,33.33791466349633,35.12897735430229,34.964612680265134,40.63438417808848,39.856203897971
40,37.362254154027205,35.86393178849836,38.042236800133395,38.37480773903983,40.882607973757885,39.98871451922539
41,35.3567282102623,34.80603022339039,31.744911212410024,37.26080360522537,40.38944714075782,40.19748112889572
42,37.2181728723788,35.49314564349493,35.11928363945621,37.18241329254022,40.92782596616759,40.16976267915573
43,36.34055665576475,34.747408575366705,34.70603334718078,32.153920279305595,40.31669285024612,39.96105284272259
44,33.451778180607164,33.212797641406084,34.078065698924696,36.785439406765654,38.78537455220944,38.335705296891966
45,35.216589710353176,34.814797743622854,36.3502159639488,36.77282715126897,39.738813181122104,39.22366747891675
46,36.708988557597316,34.7730338451738,34.298602616121066,36.937038303790125,41.06146992310961,40.60413800199487
47,37.203100751644115,36.108962233549185,37.389152677920315,38.450492210102425,40.95463914670691,40.03563333082706
48,34.58633216733713,33.98968196360046,35.10924692163597,34.215230594717745,38.8414093801397,38.69986374399002
49,34.24398162392185,33.469780452075085,35.06877563856793,38.23938305992552,40.231722046981986,39.045672549053386
50,35.03965722942849,34.64792722440883,36.277318584468695,38.22549907501934,39.667532956486454,38.747786943082055
51,34.720709466685676,34.095686396592086,34.381607960397375,37.57946623807427,40.27859829207206,39.864979200711964
52,38.48839133015386,36.63102696768381,36.93368250808396,37.96768746937325,42.20555409967165,41.56367419428441
53,35.778860915538885,34.665979950986184,35.98195667705195,37.77030306339609,40.62678127035899,40.0288042621565
54,38.250674809701664,34.98518696593605,33.11919791151559,33.5080517961475,40.570432186458675,40.32823330603644
55,35.163126433657695,33.63082414288938,33.277025751348035,33.71698449424055,39.279130932657594,38.91484547983441
56,35.60498005891768,34.503696768726556,35.52703727375064,37.57631631963326,41.304304832417074,40.1690132703488
57,38.36598467111247,32.100584220998364,32.70592639397321,32.96368398480914,40.786332160530854,40.438318538972936
58,39.420637488796594,34.01823950724751,33.8113861893059,34.60850155222803,42.277983504040336,41.58090748757131
59,35.09868207635738,34.44503090942846,35.46202889478459,36.18910747166337,40.10171151573557,39.3969514054823
60,33.799606547685464,32.55282558460007,34.133301579148686,35.7800378201073,40.03366873146135,39.46400378596662
61,34.915170806485314,33.545866816592344,35.45359640092039,36.160925965054204,39.690219138506265,39.13945663474379
62,37.342751892342385,34.46962479465394,33.75362114111101,37.488047636180816,42.77757113675147,41.21688491836267
63,35.274518343281116,34.56571923621426,34.049333389983545,35.79946697218383,39.84117244631864,39.48737750555428
64,33.66052356804866,32.87830096732059,32.28175654511184,35.18844132911239,38.619629247062676,38.32545144755161
65,36.536048985945186,35.325020144764146,35.35136866480886,38.05257008717748,40.57331527269487,39.72514041287055
66,35.84118680338466,33.832380338587114,36.4193429931438,36.84978906049219,40.46113912706602,39.634720537561414
67,38.94052758252177,36.96809633923751,34.862233091621036,37.828814375785484,40.927977929965415,40.47780138382162
68,36.49013761720047,34.98449052412273,36.00098246717331,37.63534829892195,39.86393173796858,39.688920597005456
